tag,top,N,PEs,NUM_RD_PORTS,cells,cell_area_um2,total_area_um2,WNS_ps,leakage_W,internal_W,switching_W,total_W
accel_controller,accel_controller,1,NA,1,2321,6233.390,6233.390,-401.2,1.544940e-04,1.739170e-03,5.337290e-04,2.427390e-03
adder_tree,adder_tree,1,NA,1,21255,73012.521,73012.521,8.4,1.890240e-03,2.053710e-02,1.462130e-03,2.388950e-02
adder_tree_n16,adder_tree,16,NA,1,5094,17617.770,17617.770,8.4,4.585400e-04,5.005360e-03,8.531240e-04,6.317020e-03
adder_tree_n2,adder_tree,2,NA,1,370,1468.698,1468.698,8.4,4.142990e-05,4.647050e-04,7.362920e-05,5.797640e-04
adder_tree_n32,adder_tree,32,NA,1,10473,36103.442,36103.442,8.4,9.374050e-04,1.018410e-02,7.199860e-04,1.184140e-02
adder_tree_n4,adder_tree,4,NA,1,1046,3778.867,3778.867,8.4,9.951490e-05,1.115900e-03,1.853220e-04,1.400730e-03
adder_tree_n8,adder_tree,8,NA,1,2394,8406.829,8406.829,8.4,2.195990e-04,2.413840e-03,4.081060e-04,3.041540e-03
causal_mask_unit,causal_mask_unit,1,NA,1,2213,4496.316,4496.316,NA,1.180850e-04,5.282310e-05,1.844620e-05,1.893540e-04
divider_or_reciprocal_unit,divider_or_reciprocal_unit,1,NA,1,17333,41120.753,41120.753,-13398.0,9.897740e-04,1.062880e-02,4.511970e-03,1.613060e-02
fused_postproc_unit,fused_postproc_unit,1,NA,1,57367,155773.244,155773.244,-14828.1,3.717070e-03,4.208010e-02,1.464180e-02,6.043890e-02
gelu_grad_unit,gelu_grad_unit,1,NA,1,32774,86806.950,86806.950,-14678.1,2.112700e-03,2.485380e-02,9.351550e-03,3.631800e-02
gelu_unit,gelu_unit,1,NA,1,26246,68449.874,68449.874,-13413.4,1.644080e-03,1.862510e-02,7.139210e-03,2.740840e-02
perf_counter_block,perf_counter_block,1,NA,1,648,2239.263,2239.263,54.6,5.766490e-05,6.627000e-04,1.093310e-04,8.296950e-04
softmax_unit,softmax_unit,1,NA,1,1519545,3818674.727,3818674.727,-19080.0,9.323060e-02,1.954330e+00,7.804600e-01,2.828020e+00
softmax_unit_v1,softmax_unit,1,NA,1,561,1467.173,1467.173,2.7,3.309860e-05,2.468560e-04,5.555310e-05,3.355080e-04
softmax_unit_v16,softmax_unit,16,NA,1,387449,974130.902,974130.902,-18968.4,2.379710e-02,4.925380e-01,1.960230e-01,7.123580e-01
softmax_unit_v2,softmax_unit,2,NA,1,56378,141652.241,141652.241,-18418.7,3.483460e-03,6.670680e-02,2.630500e-02,9.649520e-02
softmax_unit_v32,softmax_unit,32,NA,1,760884,1914792.819,1914792.819,-19055.6,4.643860e-02,9.806480e-01,3.922890e-01,1.419370e+00
softmax_unit_v4,softmax_unit,4,NA,1,101915,259719.919,259719.919,-18783.5,6.449910e-03,1.302510e-01,5.051690e-02,1.872180e-01
softmax_unit_v8,softmax_unit,8,NA,1,198940,496777.056,496777.056,-18784.9,1.213740e-02,2.486540e-01,9.972760e-02,3.605190e-01
stream_pipeline_1x1,stream_pipeline,1,1,1,57576,154453.983,154453.983,-14770.0,3.725980e-03,6.850850e-02,2.509290e-02,9.732740e-02
stream_pipeline_2x2,stream_pipeline,2,4,1,113077,290152.138,290152.138,-18343.0,6.879150e-03,1.386130e-01,5.437130e-02,1.998640e-01
systolic_array_64x64_16x16,systolic_array_64x64,16,256,1,124559,402506.659,402506.659,-667.1,1.071120e-02,1.146610e-01,1.720890e-02,1.425810e-01
systolic_array_64x64_1x1,systolic_array_64x64,1,1,1,771,1834.666,1834.666,-560.4,4.168230e-05,6.545470e-04,2.495110e-04,9.457400e-04
systolic_array_64x64_2x2,systolic_array_64x64,2,4,1,2547,6903.313,6903.313,-641.3,1.627350e-04,1.198370e-03,2.767620e-04,1.637860e-03
systolic_array_64x64_32x32,systolic_array_64x64,32,1024,1,497820,1611448.574,1611448.574,-683.7,4.349020e-02,4.647380e-01,6.934380e-02,5.775720e-01
systolic_array_64x64_4x4,systolic_array_64x64,4,16,1,9151,27024.148,27024.148,-648.4,6.913950e-04,6.426200e-03,1.492780e-03,8.610370e-03
systolic_array_64x64_8x8,systolic_array_64x64,8,64,1,32995,102849.027,102849.027,-668.9,2.717060e-03,2.667150e-02,3.962980e-03,3.335160e-02
tile_buffer_d16_p1,tile_buffer,16,NA,1,24457,119899.802,119899.802,-297.6,3.386350e-03,3.781050e-02,1.294870e-03,4.249170e-02
tile_buffer_d16_p16,tile_buffer,16,NA,16,90425,407421.296,407421.296,-263.2,1.054000e-02,7.985510e-02,2.468610e-02,1.150810e-01
tile_buffer_d1_p1,tile_buffer,1,NA,1,38,308.531,308.531,229.9,1.002310e-05,1.414130e-04,1.918080e-05,1.706170e-04
tile_buffer_d2_p1,tile_buffer,2,NA,1,243,1783.583,1783.583,122.4,5.227480e-05,6.620110e-04,1.179990e-04,8.322850e-04
tile_buffer_d2_p2,tile_buffer,2,NA,2,278,1978.003,1978.003,122.4,5.646290e-05,6.913870e-04,1.329410e-04,8.807920e-04
tile_buffer_d32_p1,tile_buffer,32,NA,1,134602,564941.780,564941.780,-500.9,1.573570e-02,1.593290e-01,1.308620e-02,1.881510e-01
tile_buffer_d32_p32,tile_buffer,32,NA,32,845767,2476526.540,2476526.540,-600.4,5.807660e-02,1.656870e-01,3.719210e-02,2.609550e-01
tile_buffer_d4_p1,tile_buffer,4,NA,1,1899,8193.603,8193.603,-26.5,2.403640e-04,2.654300e-03,4.595120e-04,3.354170e-03
tile_buffer_d4_p4,tile_buffer,4,NA,4,3828,12162.824,12162.824,-25.3,3.242860e-04,2.974600e-03,6.677040e-04,3.966590e-03
tile_buffer_d8_p1,tile_buffer,8,NA,1,6802,31505.723,31505.723,-162.2,9.138890e-04,1.070000e-02,8.698950e-04,1.248370e-02
tile_buffer_d8_p8,tile_buffer,8,NA,8,16695,57032.963,57032.963,-164.6,1.329270e-03,1.037780e-02,1.096130e-03,1.280320e-02
tile_buffer_p1,tile_buffer,64,NA,1,566290,2171528.579,2171528.579,-740.6,6.034350e-02,5.570070e-01,1.787350e-02,6.352240e-01
